checkpoint,window_start,window_end,dynamic_step,selection_index,token_id,token,wikitext_train_count,frequency_bin,lyapunov_exponent_per_step,geometric_tangent_factor_per_step,overall_lyapunov_0_1024
step5000,256,512,512,1,23778, motive,8,2,0.009489183314144611,1.009534348360892,0.01086034532636404
step5000,256,512,512,2,19211, cabinet,33,5,0.010248709470033646,1.0103014073675547,0.01235616859048605
step5000,256,512,512,3,6574, miles,404,7,0.007159696891903877,1.007185388800521,0.006553443614393473
step5000,512,768,768,0,21825, clones,2,0,0.006661837920546532,1.0066840773204504,0.007300899364054203
step5000,512,768,768,1,23778, motive,8,2,0.014452402479946613,1.0145573433886312,0.01086034532636404
step5000,512,768,768,2,19211, cabinet,33,5,0.009433750994503498,1.0094783890811956,0.01235616859048605
step5000,512,768,768,3,6574, miles,404,7,0.00010972026211675256,1.0001097262816048,0.006553443614393473
step5000,768,1024,1024,0,21825, clones,2,0,-0.0026483379770070314,0.9973551657762897,0.007300899364054203
step5000,768,1024,1024,1,23778, motive,8,2,0.006967213936150074,1.0069915414366482,0.01086034532636404
step5000,768,1024,1024,2,19211, cabinet,33,5,0.008718926459550858,1.0087570470083973,0.01235616859048605
step5000,768,1024,1024,3,6574, miles,404,7,0.00020942780247423798,1.0002094497340075,0.006553443614393473
step7000,0,256,256,0,21825, clones,2,0,0.02467120811343193,1.024978060645938,0.01912585087120533
step7000,0,256,256,1,23778, motive,8,2,0.027182120829820633,1.02755492487916,0.020464742556214333
step7000,0,256,256,2,19211, cabinet,33,5,0.029293352738022804,1.0297266232968332,0.005647176876664162
step7000,0,256,256,3,6574, miles,404,7,0.028793709352612495,1.0292122557116035,0.019740965217351913
step7000,256,512,512,0,21825, clones,2,0,0.01641128957271576,1.0165466944944368,0.01912585087120533
step7000,256,512,512,1,23778, motive,8,2,0.02603626623749733,1.026378170672983,0.020464742556214333
step7000,256,512,512,2,19211, cabinet,33,5,0.011547456495463848,1.011614385743987,0.005647176876664162
step7000,256,512,512,3,6574, miles,404,7,0.01872820034623146,1.0189046730408247,0.019740965217351913
step7000,512,768,768,0,21825, clones,2,0,0.016621749848127365,1.016760659706528,0.01912585087120533
step7000,512,768,768,1,23778, motive,8,2,0.01847103424370289,1.0186426789866494,0.020464742556214333
step7000,512,768,768,2,19211, cabinet,33,5,-0.01125393621623516,0.9888091524369336,0.005647176876664162
step7000,512,768,768,3,6574, miles,404,7,0.010473361238837242,1.0105283988618103,0.019740965217351913
step7000,768,1024,1024,0,21825, clones,2,0,0.018799154087901115,1.018976970704646,0.01912585087120533
step7000,768,1024,1024,1,23778, motive,8,2,0.010169546119868755,1.0102214316890843,0.020464742556214333
step7000,768,1024,1024,2,19211, cabinet,33,5,-0.006998162716627121,0.993026267402209,0.005647176876664162
step7000,768,1024,1024,3,6574, miles,404,7,0.020968591794371605,1.0211899773890385,0.019740965217351913
step8000,0,256,256,0,21825, clones,2,0,0.019525110721588135,1.0197169723681625,0.010815725661814213
step8000,0,256,256,1,23778, motive,8,2,0.039467040449380875,1.0402562119426455,0.01937909796833992
step8000,0,256,256,2,19211, cabinet,33,5,0.014365412294864655,1.0144690906961682,0.0037728731986135244
step8000,0,256,256,3,6574, miles,404,7,0.0079876109957695,1.0080195970678614,0.014987886883318424
step8000,256,512,512,0,21825, clones,2,0,0.01275533065199852,1.0128370268665643,0.010815725661814213
step8000,256,512,512,1,23778, motive,8,2,0.010625291615724564,1.0106819404858278,0.01937909796833992
step8000,256,512,512,2,19211, cabinet,33,5,-0.001606023870408535,0.9983952650957985,0.0037728731986135244
step8000,256,512,512,3,6574, miles,404,7,0.01977633312344551,1.0199731802964136,0.014987886883318424
step8000,512,768,768,0,21825, clones,2,0,0.0038185883313417435,1.0038258884288287,0.010815725661814213
step8000,512,768,768,1,23778, motive,8,2,0.015112988650798798,1.0152277673512298,0.01937909796833992
step8000,512,768,768,2,19211, cabinet,33,5,-0.0015036549884825945,0.9984974749342707,0.0037728731986135244
step8000,512,768,768,3,6574, miles,404,7,0.01512615755200386,1.0152411368734293,0.014987886883318424
step8000,768,1024,1024,0,21825, clones,2,0,0.007163875736296177,1.0071895976803293,0.010815725661814213
step8000,768,1024,1024,1,23778, motive,8,2,0.012311075814068317,1.0123871690504984,0.01937909796833992
step8000,768,1024,1024,2,19211, cabinet,33,5,0.0038357579614967108,1.0038431238960357,0.0037728731986135244
step8000,768,1024,1024,3,6574, miles,404,7,0.017061442136764526,1.0172078198272148,0.014987886883318424
step9000,0,256,256,0,21825, clones,2,0,-0.0005976413376629353,0.9994025372143495,-0.004354768432676792
step9000,0,256,256,1,23778, motive,8,2,0.0010153460316359997,1.0010158616699203,-0.0039783651009202
