checkpoint,window_start,window_end,window_transitions,window_states,full_dimensional_radius_rms,full_dimensional_radius_p95,full_dimensional_radius_max,projection_2d_radius_rms,projection_2d_radius_p95,projection_2d_radius_max
step37000,896,1024,128,129,18.540700537337134,26.743430995092673,32.013239990126756,0.9480450886921878,1.7359673992932836,2.00667978854676
step37000,1024,1152,128,129,16.60221334854702,26.135864600185833,39.293968257563435,0.7627748579186253,1.41536952875798,2.3015297283227567
step37000,1152,1280,128,129,15.07920645295829,29.512353499799673,37.11237329867068,0.6993930544652871,1.5901220368162572,2.2035379341098777
step37000,1280,1408,128,129,16.597209417247104,26.41658326351606,33.003941398084315,0.8193052486808129,1.4762474524012323,1.9544746712597292
step37000,1408,1536,128,129,19.270881654180787,30.878385809647376,36.83461314786812,0.9397752702240747,1.8327976779835793,2.4152676371573905
step37000,1536,1664,128,129,13.610575315412099,27.61744180956359,30.356136131895045,0.6209872943813433,1.2522360949513365,1.599082927625951
step37000,1664,1792,128,129,16.953858820153048,25.629351426131315,30.314130375837653,0.8136719607270968,1.5525415619736465,2.0942587877103134
step37000,1792,1920,128,129,16.901202817030207,26.01844889547259,33.06594950710917,0.8376013673743101,1.5934015101854722,2.1349334935750854
step37000,1920,2048,128,129,18.20915425958856,29.334556971092482,40.104806694046616,0.8428102274082184,1.529345333406702,2.6177346884418364
step45000,0,512,512,513,43.42319696844452,52.977016182267086,74.5262274281217,2.7577307074931054,3.751867291668569,6.558026669804798
step45000,512,640,128,129,42.89094510057365,52.4550326144457,54.19372697548249,2.699920436756007,3.719040310801435,3.8049344234569906
step45000,640,768,128,129,42.875842831597886,52.58709989594058,54.22310624449322,2.700271867056493,3.7300597248312948,3.8027399217734383
step45000,768,896,128,129,42.8602678668738,52.70444167653336,54.293078201073655,2.7014425004606233,3.738697807744379,3.804654071539025
step45000,896,1024,128,129,42.84503520519109,52.81352722808523,54.338972048660786,2.70406587879912,3.7439519184580066,3.805021527787082
step45000,1024,1152,128,129,42.82914227222245,52.902831431758585,54.380546723861535,2.708030462099826,3.7463347848413857,3.805625136380945
step45000,1152,1280,128,129,42.814121423431075,52.91320881541532,54.414359141947756,2.711869895173054,3.74796680257912,3.8063018267744186
step45000,1280,1408,128,129,42.80237299067536,52.95053093785684,54.44279978837272,2.714133035249597,3.7477042891049437,3.8066835598216797
step45000,1408,1536,128,129,42.79474561621429,52.94161245624479,54.46688534567165,2.7149448745418274,3.749475937624857,3.8063166990390482
step45000,1536,1664,128,129,42.791763948414754,52.92809094530095,54.48534064364752,2.7156440939462074,3.754849874373285,3.805003170959415
step45000,1664,1792,128,129,42.7926680489066,52.90993064597228,54.501391603433916,2.7174301481019274,3.759689230947626,3.803037817949486
step45000,1792,1920,128,129,42.79480289154976,52.88583080037634,54.50912783012437,2.720033335300395,3.757368982437966,3.801829569803347
step45000,1920,2048,128,129,42.79549810144224,52.85442430867662,54.50501997613538,2.7218139928226495,3.756883388401204,3.801045158327456
step53000,0,512,512,513,37.279216780321725,51.69912283115963,86.75237533725785,2.019542899181394,3.587328962191523,6.580771875407876
step53000,512,640,128,129,37.755976227358396,48.401131167008955,49.59972157811316,2.1038601295761383,3.6027250369930996,3.8765255147003392
step53000,640,768,128,129,37.825962024795295,49.82414947807967,50.488913603486765,2.0171838919265417,3.5770664716967575,3.8583405051922157
step53000,768,896,128,129,35.47907071229189,53.95887348898644,56.09004964717417,1.999541798919329,3.813043681966609,4.280533540684648
step53000,896,1024,128,129,37.38681385901962,50.20078179998082,51.57912875385513,2.046891966679187,3.638383016340579,4.048243296155445
step53000,1024,1152,128,129,37.82276151120647,47.95959664541516,48.91659045275489,2.0413461944626516,3.468192609756689,3.815322422750928
step53000,1152,1280,128,129,36.48803127919108,53.641700066970316,54.295872934761455,2.0484965058400078,3.72541354672519,4.116340651847427
step53000,1280,1408,128,129,36.26214411678039,51.56786079007295,54.28080607091393,1.9421792138305998,3.6256592550333133,4.246690160311827
step53000,1408,1536,128,129,37.779647815801084,48.08423583706529,49.23000244324363,2.099156848668578,3.606797834540508,3.8546513760329693
step53000,1536,1664,128,129,37.664911364780885,50.81405073885337,51.36352980396778,2.028935844255231,3.6124622844094603,3.8898719516324647
step53000,1664,1792,128,129,35.45173823965965,53.47206567202113,56.105664450123626,1.9462486977300255,3.6018553075875497,4.318510650002775
step53000,1792,1920,128,129,37.61917428453936,49.370888846127706,50.704605689839624,2.0907663175449853,3.6659748491537485,3.969662261164593
step53000,1920,2048,128,129,37.86354434560689,48.24074090661196,49.18925540553461,2.0217045725745364,3.467132771374982,3.812823544739371
step61000,0,512,512,513,9.799000471976372,4.980824211884646,92.07897818563788,0.5265190091765805,0.213945771390545,5.6647042271808425
step61000,512,640,128,129,1.3417487902985812e-05,1.5851677642005776e-05,1.9047464641393875e-05,1.006578995564082e-06,1.7473656467861005e-06,2.3604372523420814e-06
step61000,640,768,128,129,1.3442350495504584e-05,1.5794916535742665e-05,1.7234786861580818e-05,9.581689979594874e-07,1.5891586024472503e-06,2.2212681048681644e-06
step61000,768,896,128,129,1.3504551947083783e-05,1.5991772945530067e-05,1.884864803004947e-05,1.0018657195935958e-06,1.730805908946531e-06,2.752472481493425e-06
step61000,896,1024,128,129,1.3354808907229595e-05,1.5775480257221355e-05,1.9529645651725913e-05,9.993401823553856e-07,1.7080747660625637e-06,3.0275282613700684e-06
step61000,1024,1152,128,129,1.3580109950760423e-05,1.5886612567043595e-05,1.788075332676612e-05,1.063390457339483e-06,1.9199417523056958e-06,2.765057505087201e-06
step61000,1152,1280,128,129,1.3413578298175684e-05,1.5699248326300454e-05,1.7163421526250162e-05,1.0508890795117746e-06,1.8062491543823678e-06,2.179906298115428e-06
step61000,1280,1408,128,129,1.341348768117777e-05,1.6026165424690702e-05,1.810128847306931e-05,9.830323331459934e-07,1.7166117421265317e-06,2.684150406744618e-06
step61000,1408,1536,128,129,1.3478229206070006e-05,1.5971965277028498e-05,1.901314809976979e-05,1.0512455404228327e-06,1.8030017654853373e-06,2.457268385061266e-06
step61000,1536,1664,128,129,1.337024481157368e-05,1.5688909641825483e-05,1.912941578916917e-05,9.958797124845259e-07,1.7095614532863153e-06,2.618601112296651e-06
step61000,1664,1792,128,129,1.3467550564442215e-05,1.6015151212498172e-05,1.8417634910444762e-05,1.042201908500998e-06,1.834811281450911e-06,2.6106811932393907e-06
